timestamp,total_gas_consumption,peak_power,actual_consumption,total_consumption_day,total_consumption_night,actual_injection,total_injection_day,total_injection_night
240815223500,2702.727,11.744,.411,9303.297,8071.609,.000,2280.634,889.889
240815223501,2702.727,11.744,.407,9303.297,8071.609,.000,2280.634,889.889
240815223502,2702.727,11.744,.409,9303.297,8071.609,.000,2280.634,889.889
240815223503,2702.727,11.744,.407,9303.297,8071.609,.000,2280.634,889.889
240815223531,2702.727,11.744,.405,9303.297,8071.612,.000,2280.634,889.889
240815223532,2702.727,11.744,.407,9303.297,8071.612,.000,2280.634,889.889
240815223533,2702.727,11.744,.406,9303.297,8071.613,.000,2280.634,889.889
240815223601,2702.727,11.744,.406,9303.297,8071.616,.000,2280.634,889.889
240815223602,2702.727,11.744,.407,9303.297,8071.616,.000,2280.634,889.889
240815223603,2702.727,11.744,.407,9303.297,8071.616,.000,2280.634,889.889
240815223631,2702.727,11.744,.406,9303.297,8071.619,.000,2280.634,889.889
240815223632,2702.727,11.744,.405,9303.297,8071.619,.000,2280.634,889.889
240815223633,2702.727,11.744,.406,9303.297,8071.619,.000,2280.634,889.889
240815223701,2702.727,11.744,.407,9303.297,8071.623,.000,2280.634,889.889
240815223702,2702.727,11.744,.405,9303.297,8071.623,.000,2280.634,889.889
240815223703,2702.727,11.744,.406,9303.297,8071.623,.000,2280.634,889.889
240815223731,2702.727,11.744,.407,9303.297,8071.626,.000,2280.634,889.889
240815223732,2702.727,11.744,.405,9303.297,8071.626,.000,2280.634,889.889
240815223733,2702.727,11.744,.406,9303.297,8071.626,.000,2280.634,889.889
240815223801,2702.727,11.744,.406,9303.297,8071.629,.000,2280.634,889.889
240815223802,2702.727,11.744,.406,9303.297,8071.629,.000,2280.634,889.889
240815223803,2702.727,11.744,.407,9303.297,8071.630,.000,2280.634,889.889
240815223831,2702.727,11.744,.406,9303.297,8071.633,.000,2280.634,889.889
240815223832,2702.727,11.744,.405,9303.297,8071.633,.000,2280.634,889.889
240815223833,2702.727,11.744,.409,9303.297,8071.633,.000,2280.634,889.889
240815223901,2702.727,11.744,.405,9303.297,8071.636,.000,2280.634,889.889
240815223902,2702.727,11.744,.405,9303.297,8071.636,.000,2280.634,889.889
240815223903,2702.727,11.744,.408,9303.297,8071.636,.000,2280.634,889.889
240815223931,2702.727,11.744,.410,9303.297,8071.640,.000,2280.634,889.889
240815223932,2702.727,11.744,.408,9303.297,8071.640,.000,2280.634,889.889
240815223933,2702.727,11.744,.410,9303.297,8071.640,.000,2280.634,889.889
240815224001,2702.727,11.744,.404,9303.297,8071.643,.000,2280.634,889.889
240815224002,2702.727,11.744,.406,9303.297,8071.643,.000,2280.634,889.889
240815224003,2702.727,11.744,.407,9303.297,8071.643,.000,2280.634,889.889
240815224031,2702.727,11.744,.406,9303.297,8071.646,.000,2280.634,889.889
240815224032,2702.727,11.744,.408,9303.297,8071.646,.000,2280.634,889.889
240815224033,2702.727,11.744,.407,9303.297,8071.647,.000,2280.634,889.889
240815224101,2702.727,11.744,.406,9303.297,8071.650,.000,2280.634,889.889
240815224102,2702.727,11.744,.405,9303.297,8071.650,.000,2280.634,889.889
240815224103,2702.727,11.744,.406,9303.297,8071.650,.000,2280.634,889.889
240815224132,2702.727,11.744,.404,9303.297,8071.653,.000,2280.634,889.889
240815224133,2702.727,11.744,.403,9303.297,8071.653,.000,2280.634,889.889
240815224133,2702.727,11.744,.403,9303.297,8071.653,.000,2280.634,889.889
240815224202,2702.727,11.744,.403,9303.297,8071.657,.000,2280.634,889.889
240815224203,2702.727,11.744,.405,9303.297,8071.657,.000,2280.634,889.889
240815224204,2702.727,11.744,.407,9303.297,8071.657,.000,2280.634,889.889
240815224242,2702.727,11.744,.423,9303.297,8071.661,.000,2280.634,889.889
240815224243,2702.727,11.744,.425,9303.297,8071.661,.000,2280.634,889.889
240815224244,2702.727,11.744,.423,9303.297,8071.662,.000,2280.634,889.889
240815224312,2702.727,11.744,.422,9303.297,8071.665,.000,2280.634,889.889
240815224313,2702.727,11.744,.424,9303.297,8071.665,.000,2280.634,889.889
240815224314,2702.727,11.744,.423,9303.297,8071.665,.000,2280.634,889.889
240815224342,2702.727,11.744,.422,9303.297,8071.668,.000,2280.634,889.889
240815224343,2702.727,11.744,.424,9303.297,8071.668,.000,2280.634,889.889
240815224344,2702.727,11.744,.423,9303.297,8071.669,.000,2280.634,889.889
240815224412,2702.727,11.744,.403,9303.297,8071.672,.000,2280.634,889.889
240815224413,2702.727,11.744,.406,9303.297,8071.672,.000,2280.634,889.889
240815224414,2702.727,11.744,.405,9303.297,8071.672,.000,2280.634,889.889
240815224442,2702.727,11.744,.282,9303.297,8071.675,.000,2280.634,889.889
240815224443,2702.727,11.744,.280,9303.297,8071.675,.000,2280.634,889.889
240815224444,2702.727,11.744,.280,9303.297,8071.675,.000,2280.634,889.889
240815224512,2702.727,11.744,.281,9303.297,8071.677,.000,2280.634,889.889
240815224525,2702.727,11.744,.283,9303.297,8071.678,.000,2280.634,889.889
240815224526,2702.727,11.744,.281,9303.297,8071.679,.000,2280.634,889.889
240815224527,2702.727,11.744,.282,9303.297,8071.679,.000,2280.634,889.889
240815224528,2702.727,11.744,.281,9303.297,8071.679,.000,2280.634,889.889
240815224556,2702.727,11.744,.282,9303.297,8071.681,.000,2280.634,889.889
240815224557,2702.727,11.744,.288,9303.297,8071.681,.000,2280.634,889.889
240815224558,2702.727,11.744,.281,9303.297,8071.681,.000,2280.634,889.889
240815224626,2702.727,11.744,.281,9303.297,8071.683,.000,2280.634,889.889
240815224627,2702.727,11.744,.281,9303.297,8071.683,.000,2280.634,889.889
240815224628,2702.727,11.744,.281,9303.297,8071.683,.000,2280.634,889.889
240815224656,2702.727,11.744,.282,9303.297,8071.686,.000,2280.634,889.889
240815224657,2702.727,11.744,.280,9303.297,8071.686,.000,2280.634,889.889
240815224658,2702.727,11.744,.281,9303.297,8071.686,.000,2280.634,889.889
240815224726,2702.727,11.744,.283,9303.297,8071.688,.000,2280.634,889.889
240815224727,2702.727,11.744,.280,9303.297,8071.688,.000,2280.634,889.889
240815224728,2702.727,11.744,.280,9303.297,8071.688,.000,2280.634,889.889
240815224756,2702.727,11.744,.281,9303.297,8071.690,.000,2280.634,889.889
240815224757,2702.727,11.744,.279,9303.297,8071.691,.000,2280.634,889.889
240815224758,2702.727,11.744,.281,9303.297,8071.691,.000,2280.634,889.889
240815224826,2702.727,11.744,.281,9303.297,8071.693,.000,2280.634,889.889
240815224827,2702.727,11.744,.279,9303.297,8071.693,.000,2280.634,889.889
240815224828,2702.727,11.744,.280,9303.297,8071.693,.000,2280.634,889.889
240815224856,2702.727,11.744,.279,9303.297,8071.695,.000,2280.634,889.889
240815224857,2702.727,11.744,.279,9303.297,8071.695,.000,2280.634,889.889
240815224858,2702.727,11.744,.280,9303.297,8071.695,.000,2280.634,889.889
240815224926,2702.727,11.744,.281,9303.297,8071.697,.000,2280.634,889.889
240815224927,2702.727,11.744,.280,9303.297,8071.698,.000,2280.634,889.889
240815224928,2702.727,11.744,.279,9303.297,8071.698,.000,2280.634,889.889
240815224956,2702.727,11.744,.279,9303.297,8071.700,.000,2280.634,889.889
240815224957,2702.727,11.744,.280,9303.297,8071.700,.000,2280.634,889.889
240815224958,2702.727,11.744,.278,9303.297,8071.700,.000,2280.634,889.889
240815225026,2702.727,11.744,.280,9303.297,8071.702,.000,2280.634,889.889
240815225027,2702.727,11.744,.281,9303.297,8071.702,.000,2280.634,889.889
240815225028,2702.727,11.744,.284,9303.297,8071.702,.000,2280.634,889.889
240815225056,2702.727,11.744,.281,9303.297,8071.705,.000,2280.634,889.889
240815225057,2702.727,11.744,.283,9303.297,8071.705,.000,2280.634,889.889
240815225058,2702.727,11.744,.282,9303.297,8071.705,.000,2280.634,889.889
240815225126,2702.727,11.744,.282,9303.297,8071.707,.000,2280.634,889.889
240815225127,2702.727,11.744,.283,9303.297,8071.707,.000,2280.634,889.889
240815225128,2702.727,11.744,.281,9303.297,8071.707,.000,2280.634,889.889
240815225157,2702.727,11.744,.282,9303.297,8071.709,.000,2280.634,889.889
240815225158,2702.727,11.744,.282,9303.297,8071.709,.000,2280.634,889.889
240815225159,2702.727,11.744,.286,9303.297,8071.710,.000,2280.634,889.889
240815225237,2702.727,11.744,.281,9303.297,8071.713,.000,2280.634,889.889
240815225238,2702.727,11.744,.281,9303.297,8071.713,.000,2280.634,889.889
240815225239,2702.727,11.744,.285,9303.297,8071.713,.000,2280.634,889.889
240815225307,2702.727,11.744,.282,9303.297,8071.715,.000,2280.634,889.889
240815225308,2702.727,11.744,.283,9303.297,8071.715,.000,2280.634,889.889
240815225309,2702.727,11.744,.281,9303.297,8071.715,.000,2280.634,889.889
240815225337,2702.727,11.744,.282,9303.297,8071.717,.000,2280.634,889.889
240815225338,2702.727,11.744,.283,9303.297,8071.717,.000,2280.634,889.889
240815225339,2702.727,11.744,.281,9303.297,8071.718,.000,2280.634,889.889
240815225407,2702.727,11.744,.300,9303.297,8071.720,.000,2280.634,889.889
240815225408,2702.727,11.744,.301,9303.297,8071.720,.000,2280.634,889.889
240815225409,2702.727,11.744,.299,9303.297,8071.720,.000,2280.634,889.889
240815225437,2702.727,11.744,.300,9303.297,8071.722,.000,2280.634,889.889
240815225438,2702.727,11.744,.300,9303.297,8071.722,.000,2280.634,889.889
240815225439,2702.727,11.744,.300,9303.297,8071.722,.000,2280.634,889.889
240815225507,2702.727,11.744,.300,9303.297,8071.725,.000,2280.634,889.889
240815225508,2702.727,11.744,.299,9303.297,8071.725,.000,2280.634,889.889
240815225509,2702.727,11.744,.299,9303.297,8071.725,.000,2280.634,889.889
240815225537,2702.727,11.744,.283,9303.297,8071.727,.000,2280.634,889.889
240815225538,2702.727,11.744,.281,9303.297,8071.727,.000,2280.634,889.889
240815225539,2702.727,11.744,.283,9303.297,8071.727,.000,2280.634,889.889
240815225607,2702.727,11.744,.283,9303.297,8071.730,.000,2280.634,889.889
240815225608,2702.727,11.744,.282,9303.297,8071.730,.000,2280.634,889.889
240815225609,2702.727,11.744,.283,9303.297,8071.730,.000,2280.634,889.889
240815225637,2702.727,11.744,.283,9303.297,8071.732,.000,2280.634,889.889
240815225638,2702.727,11.744,.280,9303.297,8071.732,.000,2280.634,889.889
240815225639,2702.727,11.744,.284,9303.297,8071.732,.000,2280.634,889.889
240815225707,2702.727,11.744,.282,9303.297,8071.734,.000,2280.634,889.889
240815225708,2702.727,11.744,.281,9303.297,8071.734,.000,2280.634,889.889
240815225709,2702.727,11.744,.281,9303.297,8071.734,.000,2280.634,889.889
240815225737,2702.727,11.744,.281,9303.297,8071.737,.000,2280.634,889.889
240815225738,2702.727,11.744,.281,9303.297,8071.737,.000,2280.634,889.889
240815225739,2702.727,11.744,.282,9303.297,8071.737,.000,2280.634,889.889
240815225807,2702.727,11.744,.281,9303.297,8071.739,.000,2280.634,889.889
240815225808,2702.727,11.744,.288,9303.297,8071.739,.000,2280.634,889.889
240815225809,2702.727,11.744,.282,9303.297,8071.739,.000,2280.634,889.889
240815225837,2702.727,11.744,.280,9303.297,8071.741,.000,2280.634,889.889
240815225838,2702.727,11.744,.281,9303.297,8071.741,.000,2280.634,889.889
240815225839,2702.727,11.744,.279,9303.297,8071.742,.000,2280.634,889.889
240815225907,2702.727,11.744,.281,9303.297,8071.744,.000,2280.634,889.889
240815225908,2702.727,11.744,.281,9303.297,8071.744,.000,2280.634,889.889
240815225909,2702.727,11.744,.279,9303.297,8071.744,.000,2280.634,889.889
240815225938,2702.727,11.744,.318,9303.297,8071.747,.000,2280.634,889.889
240815225939,2702.727,11.744,.318,9303.297,8071.747,.000,2280.634,889.889
240815225940,2702.727,11.744,.319,9303.297,8071.747,.000,2280.634,889.889
240815230018,2702.727,11.744,.316,9303.297,8071.750,.000,2280.634,889.889
240815230019,2702.727,11.744,.326,9303.297,8071.750,.000,2280.634,889.889
240815230020,2702.727,11.744,.332,9303.297,8071.750,.000,2280.634,889.889
240815230048,2702.727,11.744,.311,9303.297,8071.753,.000,2280.634,889.889
240815230049,2702.727,11.744,.324,9303.297,8071.753,.000,2280.634,889.889
240815230050,2702.727,11.744,.328,9303.297,8071.753,.000,2280.634,889.889
240815230118,2702.727,11.744,.312,9303.297,8071.755,.000,2280.634,889.889
240815230119,2702.727,11.744,.325,9303.297,8071.756,.000,2280.634,889.889
240815230120,2702.727,11.744,.329,9303.297,8071.756,.000,2280.634,889.889
240815230148,2702.727,11.744,.315,9303.297,8071.758,.000,2280.634,889.889
240815230149,2702.727,11.744,.327,9303.297,8071.758,.000,2280.634,889.889
240815230150,2702.727,11.744,.332,9303.297,8071.758,.000,2280.634,889.889
240815230218,2702.727,11.744,.314,9303.297,8071.761,.000,2280.634,889.889
240815230219,2702.727,11.744,.325,9303.297,8071.761,.000,2280.634,889.889
240815230220,2702.727,11.744,.331,9303.297,8071.761,.000,2280.634,889.889
240815230248,2702.727,11.744,.315,9303.297,8071.763,.000,2280.634,889.889
240815230249,2702.727,11.744,.325,9303.297,8071.763,.000,2280.634,889.889
240815230250,2702.727,11.744,.331,9303.297,8071.764,.000,2280.634,889.889
240815230318,2702.727,11.744,.315,9303.297,8071.766,.000,2280.634,889.889
240815230319,2702.727,11.744,.325,9303.297,8071.766,.000,2280.634,889.889
240815230320,2702.727,11.744,.332,9303.297,8071.766,.000,2280.634,889.889
240815230348,2702.727,11.744,.316,9303.297,8071.769,.000,2280.634,889.889
240815230349,2702.727,11.744,.325,9303.297,8071.769,.000,2280.634,889.889
240815230350,2702.727,11.744,.332,9303.297,8071.769,.000,2280.634,889.889
240815230418,2702.727,11.744,.316,9303.297,8071.771,.000,2280.634,889.889
240815230419,2702.727,11.744,.325,9303.297,8071.771,.000,2280.634,889.889
240815230420,2702.727,11.744,.333,9303.297,8071.772,.000,2280.634,889.889
240815230448,2702.727,11.744,.314,9303.297,8071.774,.000,2280.634,889.889
240815230449,2702.727,11.744,.324,9303.297,8071.774,.000,2280.634,889.889
240815230450,2702.727,11.744,.332,9303.297,8071.774,.000,2280.634,889.889
240815230518,2702.727,11.744,.316,9303.297,8071.777,.000,2280.634,889.889
240815230519,2702.727,11.744,.326,9303.297,8071.777,.000,2280.634,889.889
240815230520,2702.727,11.744,.332,9303.297,8071.777,.000,2280.634,889.889
240815230548,2702.727,11.744,.332,9303.297,8071.779,.000,2280.634,889.889
240815230549,2702.727,11.744,.334,9303.297,8071.780,.000,2280.634,889.889
240815230550,2702.727,11.744,.332,9303.297,8071.780,.000,2280.634,889.889
240815230618,2702.727,11.744,.334,9303.297,8071.782,.000,2280.634,889.889
240815230619,2702.727,11.744,.335,9303.297,8071.782,.000,2280.634,889.889
240815230620,2702.727,11.744,.331,9303.297,8071.782,.000,2280.634,889.889
240815230649,2702.727,11.744,.325,9303.297,8071.785,.000,2280.634,889.889
240815230650,2702.727,11.744,.330,9303.297,8071.785,.000,2280.634,889.889
240815230651,2702.727,11.744,.332,9303.297,8071.785,.000,2280.634,889.889
240815230729,2702.727,11.744,.317,9303.297,8071.789,.000,2280.634,889.889
240815230730,2702.727,11.744,.313,9303.297,8071.789,.000,2280.634,889.889
240815230731,2702.727,11.744,.315,9303.297,8071.789,.000,2280.634,889.889
240815230759,2702.727,11.744,.315,9303.297,8071.791,.000,2280.634,889.889
240815230800,2702.727,11.744,.316,9303.297,8071.791,.000,2280.634,889.889
240815230801,2702.727,11.744,.319,9303.297,8071.791,.000,2280.634,889.889
240815230829,2702.727,11.744,.316,9303.297,8071.794,.000,2280.634,889.889
240815230830,2702.727,11.744,.314,9303.297,8071.794,.000,2280.634,889.889
240815230831,2702.727,11.744,.316,9303.297,8071.794,.000,2280.634,889.889
240815230859,2702.727,11.744,.316,9303.297,8071.797,.000,2280.634,889.889
240815230900,2702.727,11.744,.673,9303.297,8071.797,.000,2280.634,889.889
240815230901,2702.727,11.744,.508,9303.297,8071.797,.000,2280.634,889.889
240815230929,2702.727,11.744,.464,9303.297,8071.800,.000,2280.634,889.889
240815230930,2702.727,11.744,.463,9303.297,8071.801,.000,2280.634,889.889
240815230931,2702.727,11.744,.464,9303.297,8071.801,.000,2280.634,889.889
240815230959,2702.727,11.744,.461,9303.297,8071.804,.000,2280.634,889.889
240815231000,2702.727,11.744,.463,9303.297,8071.804,.000,2280.634,889.889
240815231001,2702.727,11.744,.461,9303.297,8071.805,.000,2280.634,889.889
240815231029,2702.727,11.744,.459,9303.297,8071.808,.000,2280.634,889.889
240815231030,2702.727,11.744,.460,9303.297,8071.808,.000,2280.634,889.889
240815231031,2702.727,11.744,.460,9303.297,8071.808,.000,2280.634,889.889
240815231059,2702.727,11.744,.455,9303.297,8071.812,.000,2280.634,889.889
240815231100,2702.727,11.744,.454,9303.297,8071.812,.000,2280.634,889.889
240815231101,2702.727,11.744,.454,9303.297,8071.812,.000,2280.634,889.889
